ABC,2017-09-05,163.09,164.24,160.21,162.63,29417590,162.49,29414672
ABC,2017-09-06,162.85,162.46,159.99,161.13,21131267,162.44,21169319
ABC,2017-09-07,162.11,162.7,160.65,161.26,21722502,161.46,21719856
ABC,2017-09-08,160.41,160.89,159.31,158.05,28311012,158.26,28305810
ABC,2017-09-11,161.09,162.14,159.54,161.29,31075573,160.97,31163734
ABC,2017-09-12,162.54,164.61,159.52,161.09,70921229,160.62,71097150
ABC,2017-09-13,160.01,160.51,158.22,159.29,44580353,159.07,44260255
EFG,2017-09-05,154.45,154.69,153.17,154.52,1270203,153.58,1270679
EFG,2017-09-06,155.03,155.14,153.89,154.45,1195987,154.06,1196107
EFG,2017-09-07,154.73,155.36,153.6,155.68,1420730,155.6,1409098
EFG,2017-09-08,156.01,155.91,154.17,155.86,1438929,156.08,1445338
EFG,2017-09-11,157.07,157.71,155.93,157.17,1608840,156.7,1610357
EFG,2017-09-12,155.98,156.72,154.28,156.71,1692197,156.86,1687819
EFG,2017-09-13,156.4,157.07,155.68,155.54,1211779,155.85,1210716
XYZ,2017-09-05,63.9,64.51,63.13,63.95,1738651,63.33,1733249
XYZ,2017-09-06,63.85,63.65,61.72,62.23,3730110,61.95,3725435
XYZ,2017-09-07,61.97,61.93,59.47,60.46,6166046,60.64,6191712
XYZ,2017-09-08,60.36,60.45,58.51,59.35,5173590,59.4,5174940
XYZ,2017-09-11,60.04,59.92,57.68,58.24,5003322,58.02,5001118
XYZ,2017-09-12,58.19,59.29,57.89,58.71,3633446,58.96,3635132
XYZ,2017-09-13,59.01,60.66,58.8,60.33,3571591,60.46,3583560
